CRRES EMIC wave events, their positions, and magnetospheric conditions
Data:
          orbit           year        yearday           xpos           ypos           zpos             ls            mlt           mlat     phase
             30           1990    219.2152710  21293.4042969  12601.9560547  -1633.4335938      4.0575199      4.8796701      0.1919670     quiet
             30           1990    219.2159729  21353.8222656  12819.1845703  -1593.9327393      4.0839081      4.9035482      0.2854388     quiet
             30           1990    219.2166595  21414.2402344  13036.4130859  -1554.4320068      4.1102958      4.9274263      0.3789106     quiet
             30           1990    219.2173615  21474.6562500  13253.6416016  -1514.9311523      4.1366839      4.9513040      0.4723824     quiet
             30           1990    219.2180481  21535.0742188  13470.8701172  -1475.4304199      4.1630716      4.9751821      0.5658542     quiet
             30           1990    219.2187500  21595.4921875  13688.0986328  -1435.9295654      4.1894598      4.9990602      0.6593260     quiet
             30           1990    219.2194519  21646.6757812  13899.4794922  -1395.8092041      4.2149377      5.0214663      0.7503348     quiet
             30           1990    219.2201385  21697.8574219  14110.8603516  -1355.6889648      4.2404160      5.0438724      0.8413436     quiet
             30           1990    219.2208405  21749.0410156  14322.2412109  -1315.5686035      4.2658939      5.0662780      0.9323524     quiet
             30           1990    219.2215271  21800.2226562  14533.6220703  -1275.4483643      4.2913723      5.0886841      1.0233612     quiet
             30           1990    219.2222290  21851.4062500  14745.0029297  -1235.3280029      4.3168502      5.1110902      1.1143700     quiet
             30           1990    219.2229156  21894.0507812  14950.6279297  -1194.7213135      4.3413820      5.1322002      1.2031240     quiet
             30           1990    219.2236176  21936.6953125  15156.2529297  -1154.1146240      4.3659139      5.1533103      1.2918780     quiet
             30           1990    219.2243042  21979.3398438  15361.8779297  -1113.5078125      4.3904462      5.1744199      1.3806320     quiet
             30           1990    219.2250061  22021.9843750  15567.5029297  -1072.9011230      4.4149780      5.1955299      1.4693861     quiet
             30           1990    219.2256927  22064.6289062  15773.1279297  -1032.2944336      4.4395099      5.2166400      1.5581400     quiet
             30           1990    219.2263947  22099.3496094  15973.0927734   -991.3190918      4.4631557      5.2366042      1.6448220     quiet
             30           1990    219.2270813  22134.0722656  16173.0576172   -950.3436890      4.4868021      5.2565680      1.7315040     quiet
             30           1990    219.2277832  22168.7929688  16373.0214844   -909.3683472      4.5104480      5.2765322      1.8181860     quiet
             30           1990    219.2284698  22203.5156250  16572.9863281   -868.3929443      4.5340943      5.2964959      1.9048680     quiet
             30           1990    219.2291718  22238.2363281  16772.9511719   -827.4176025      4.5577402      5.3164601      1.9915500     quiet
             30           1990    219.2298584  22265.5800781  16967.3554688   -786.1657715      4.5804863      5.3354082      2.0763299     quiet
             30           1990    219.2305603  22292.9218750  17161.7597656   -744.9139404      4.6032324      5.3543563      2.1611099     quiet
             30           1990    219.2312469  22320.2656250  17356.1621094   -703.6620483      4.6259780      5.3733039      2.2458901     quiet
             88           1990    243.0520782  19728.2753906  17189.2070312   1293.9853516      4.2428002      4.1919661     -1.6355300  recovery
             88           1990    243.0527802  19748.3203125  17402.6074219   1349.7584229      4.2683902      4.2146502     -1.5434200  recovery
             88           1990    243.0534668  19760.6191406  17609.1875000   1405.0035400      4.2930384      4.2360520     -1.4544860  recovery
             88           1990    243.0541687  19772.9179688  17815.7656250   1460.2485352      4.3176861      4.2574539     -1.3655519  recovery
             88           1990    243.0548553  19785.2148438  18022.3457031   1515.4936523      4.3423343      4.2788563     -1.2766180  recovery
             88           1990    243.0555573  19797.5136719  18228.9238281   1570.7386475      4.3669820      4.3002582     -1.1876841  recovery
             88           1990    243.0562439  19809.8125000  18435.5039062   1625.9837646      4.3916302      4.3216600     -1.0987500  recovery
             88           1990    243.0569458  19814.9707031  18635.4433594   1680.6440430      4.4153743      4.3419318     -1.0128368  recovery
             88           1990    243.0576324  19820.1289062  18835.3808594   1735.3043213      4.4391184      4.3622041     -0.9269236  recovery
             88           1990    243.0583344  19825.2871094  19035.3203125   1789.9645996      4.4628620      4.3824759     -0.8410104  recovery
             88           1990    243.0590210  19830.4453125  19235.2578125   1844.6248779      4.4866061      4.4027481     -0.7550972  recovery
             88           1990    243.0597229  19835.6035156  19435.1972656   1899.2851562      4.5103502      4.4230199     -0.6691840  recovery
             88           1990    243.0604095  19834.1582031  19628.6699219   1953.3140869      4.5331960      4.4422917     -0.5858816  recovery
             88           1990    243.0611115  19832.7109375  19822.1425781   2007.3430176      4.5560422      4.4615641     -0.5025792  recovery
