These events were found by eye. A storm was defined as Dst < -40 nT. The Onset time was defined as taking the start of a negative slope in the Dst before the min. This was at time a bit arbitrary. The min Dst is just what it sounds like, the end of the hour where the Dst was at it's min. This was also some times a bit arbitrary when the Dst would dip back down after the first time it reached the min. value. The recovery phase is defined as 80% recovery from the min. Dst value. This is also at times a bit arbitrary when the Dst would almost recover and stay just below the 80% recovery level for hours (some times days) before the start of another storm and yet the previous one never technically recovered. These are all (hopefully) symantics and the times hopefully give us an honest view of the storms which occured during the CRRES mission. 


		onset				min				recovered		
year	month	day	hr	min	month	day	hour	min	month	day	hour	min
1990	7	28	6	33	7	29	8	44	7	30	21	9
1990	7	31	0	57	7	31	2	8	8	1	0	0
1990	8	1	15	34	8	2	3	17	8	2	6	37
1990	8	2	6	40	8	2	17	21	8	3	3	0
1990	8	15	9	49	8	15	12	55	8	15	23	53
1990	8	16	11	6	8	16	13	43	8	16	22	12
1990	8	21	6	16	8	22	11	26	8	23	0	25
1990	8	23	0	32	8	23	14	34	8	25	0	40
1990	8	26	6	33	8	26	17	28	8	27	5	8
1990	8	27	8	21	8	27	11	38	8	28	8	47
1990	8	30	16	2	8	30	16	58	8	31	3	42
1990	9	1	13	39	9	1	18	17	9	3	0	30
1990	9	18	2	8	9	18	15	36	9	18	23	40
1990	9	18	23	45	9	19	2	29	9	20	10	13
1990	10	9	14	52	10	10	8	19	10	10	23	22
1990	10	10	23	23	10	11	7	38	10	11	13	50
1990	10	11	14	57	10	12	1	51	10	12	15	25
1990	10	12	17	0	10	13	2	35	10	13	18	56
1990	10	14	0	42	10	14	2	12	10	14	4	0
1990	10	14	4	17	10	14	6	54	10	14	15	17
1990	10	14	22	14	10	15	1	58	10	17	12	41
1990	10	20	7	9	10	20	22	11	10	22	8	0
1990	10	23	14	33	10	24	2	22	10	24	13	29
1990	10	24	13	37	10	24	15	27	10	26	10	0
1990	10	29	20	37	10	30	2	26	10	30	14	49
1990	10	31	5	46	10	31	8	2	10	31	16	58
1990	10	31	17	30	10	31	21	48	11	1	19	38
1990	11	16	1	11	11	16	11	49	11	17	8	39
1990	11	17	8	47	11	17	10	54	11	17	16	35
1990	11	17	16	37	11	17	20	51	11	18	17	6
1990	11	27	13	28	11	27	21	21	11	29	13	54
1990	12	4	0	0	12	4	3	28	12	5	3	0
1990	12	5	4	25	12	5	10	58	12	5	11	11
1990	12	5	12	37	12	5	16	47	12	7	11	33
1990	12	12	15	5	12	13	5	28	12	14	4	6
1990	12	24	11	38	12	24	22	3	12	26	10	14
1991	1	13	2	5	1	13	6	34	1	13	22	4
1991	1	23	23	26	1	24	11	32	1	24	18	32
1991	1	25	16	53	1	26	4	13	1	27	6	51
1991	1	31	2	49	1	31	8	37	1	31	12	19
1991	2	1	21	4	2	1	23	32	2	2	0	51
1991	2	2	0	56	2	2	3	13	2	4	0	34
1991	3	10	0	30	3	10	4	11	3	10	18	17
1991	3	12	8	5	3	13	1	12	3	13	3	5
1991	3	13	4	54	3	13	6	0	3	13	9	16
1991	3	24	3	55	3	25	3	41	3	27	3	9
1991	3	30	5	7	3	30	21	20	3	31	3	43
1991	3	31	23	21	4	1	9	10	4	2	6	0
1991	4	2	6	32	4	2	10	2	4	3	8	31
1991	4	3	8	32	4	3	10	14	4	4	3	23
1991	4	4	11	24	4	4	21	10	4	7	2	59
1991	4	9	4	8	4	9	14	13	4	10	19	9
1991	4	26	2	32	4	29	14	25	5	1	22	16
1991	5	1	23	48	5	2	17	39	5	4	6	17
1991	5	13	9	9	5	13	19	19	5	14	1	36
1991	5	14	4	23	5	14	8	20	5	14	9	45
1991	5	14	9	46	5	14	17	13	5	14	23	38
1991	5	16	20	45	5	17	9	39	5	18	15	5
1991	5	24	17	33	5	25	5	29	5	26	7	3
1991	5	26	10	19	5	26	14	43	5	27	0	33
1991	5	27	1	57	5	27	3	27	5	27	11	43
1991	5	27	11	49	5	27	22	16	5	28	0	38
1991	5	28	1	34	5	28	4	46	5	28	10	25
1991	5	28	14	59	5	29	3	19	5	31	6	38
1991	5	31	6	43	5	31	15	47	6	1	0	0
1991	6	1	5	51	6	1	10	42	6	1	14	23
1991	6	2	1	45	6	2	5	37	6	2	11	1
1991	6	2	15	59	6	2	17	9	6	2	21	14
1991	6	2	22	9	6	2	23	12	6	3	18	27
1991	6	4	15	59	6	4	22	33	6	4	23	5
1991	6	4	23	47	6	5	7	32	6	5	9	23
1991	6	5	9	37	6	5	16	56	6	6	22	38
1991	6	7	1	44	6	7	6	27	6	7	22	29
1991	6	10	6	21	6	10	13	20	6	10	21	58
1991	6	11	0	11	6	11	7	22	6	12	10	14
1991	6	13	1	11	6	13	2	8	6	13	3	47
1991	6	13	6	54	6	13	8	23	6	14	12	22
1991	6	17	20	22	6	17	23	3	6	18	0	52
1991	6	18	0	56	6	18	2	50	6	18	11	40
1991	6	19	8	5	6	19	9	42	6	19	14	10
1991	6	23	1	1	6	23	14	11	6	23	19	10
1991	6	23	22	38	6	24	3	20	6	24	18	38
1991	7	2	16	45	7	3	7	29	7	3	9	12
1991	7	3	9	51	7	3	22	17	7	4	7	21
1991	7	8	0	49	7	8	9	56	7	8	16	37
1991	7	8	19	5	7	8	19	44	7	8	22	29
1991	7	9	3	26	7	9	15	4	7	11	12	52
1991	7	13	8	27	7	13	15	42	7	13	20	36
1991	7	13	20	39	7	14	3	22	7	16	8	59
1991	7	16	17	1	7	17	6	24	7	18	16	26
1991	7	18	17	6	7	19	6	6	7	19	18	26
1991	7	19	19	20	7	20	10	22	7	20	15	43
1991	7	20	16	3	7	21	7	4	7	23	15	50
