Orbit75 1990/08/25
File: c9023715.0ep
   LOCALTIME        LSHELL       UT
      18.3272      1.17134    55440000
      18.6627      1.18037    55500000
      19.0024      1.19381    55560000
      19.3441      1.21215    55620000
      19.6856      1.23555    55680000
      20.0245      1.26368    55740000
      20.3587      1.29581    55800000
      20.6860      1.33092    55860000
      21.0046      1.36806    55920000
      21.3131      1.40601    55980000
      21.6103      1.44447    56040000
      21.8954      1.48256    56100000
      22.1679      1.52050    56160000
      22.4276      1.55782    56220000
      22.6746      1.59496    56280000
      22.9090      1.63148    56340000
      23.1313      1.66783    56400000
      23.3418      1.70365    56460000
      23.5412      1.73905    56520000
      23.7300      1.77402    56580000
      23.9089      1.80879    56640000
    0.0783762      1.84302    56700000
     0.239086      1.87681    56760000
     0.391587      1.91016    56820000
     0.536423      1.94352    56880000
     0.674110      1.97625    56940000
     0.805130      2.00904    57000000
     0.929937      2.04131    57060000
      1.04895      2.07371    57120000
      1.16256      2.10568    57180000
      1.27113      2.13782    57240000
      1.37500      2.16961    57300000
      1.47446      2.20160    57360000
      1.56982      2.23333    57420000
      1.66133      2.26530    57480000
      1.74923      2.29709    57540000
      1.83376      2.32916    57600000
      1.91511      2.36096    57660000
      1.99348      2.39309    57720000
      2.06904      2.42492    57780000
      2.14197      2.45714    57840000
      2.21241      2.48924    57900000
      2.28050      2.52136    57960000
      2.34637      2.55355    58020000
      2.41014      2.58536    58080000
      2.47194      2.61741    58140000
      2.53185      2.64924    58200000
      2.58998      2.68073    58260000
      2.64642      2.71223    58320000
      2.70126      2.74329    58380000
      2.75457      2.77420    58440000
      2.80643      2.80524    58500000
      2.85691      2.83611    58560000
      2.90607      2.86674    58620000
      2.95397      2.89756    58680000
      3.00067      2.92824    58740000
      3.04623      2.95855    58800000
      3.09069      2.98912    58860000
      3.13410      3.01956    58920000
      3.17651      3.04982    58980000
      3.21796      3.07982    59040000
      3.25849      3.11000    59100000
      3.44855      3.25882    59400000
      3.62045      3.40475    59700000
      3.77725      3.54750    60000000
      3.92136      3.68682    60300000
      4.05469      3.82248    60600000
      4.17878      3.95426    60900000
      4.29487      4.08235    61200000
      4.40398      4.20604    61500000
      4.50698      4.32545    61800000
      4.60457      4.44091    62100000
      4.69736      4.55179    62400000
      4.78588      4.65865    62700000
      4.87057      4.76106    63000000
      4.95181      4.85953    63300000
      5.02994      4.95402    63600000
      5.10526      5.04431    63900000
      5.17802      5.13075    64200000
      5.24845      5.21344    64500000
      5.31676      5.29250    64800000
      5.38314      5.36805    65100000
      5.44773      5.44000    65400000
      5.51071      5.50877    65700000
      5.57219      5.57432    66000000
      5.63230      5.63700    66300000
      5.69115      5.69648    66600000
      5.74884      5.75297    66900000
      5.80548      5.80667    67200000
      5.86113      5.85769    67500000
      5.91590      5.90577    67800000
      5.96984      5.95111    68100000
