  TIME        dBx        dBy        dBz        Bx         By         Bz
27318036   0.909297   0.141120  -0.756802  -0.958924  -0.279415   0.656987
27318100  -0.961397  -0.287903   0.650288   0.990607   0.420167  -0.536573
27318164  -0.008851  -0.846220  -0.905578  -0.132352   0.762558   0.956376
27318228  -0.643538  -0.991779  -0.428183   0.529083   0.999912   0.551427
27318292  -0.916522  -0.831775   0.017702   0.850904   0.901788   0.123573
27318356   0.436165  -0.521551  -0.999755  -0.558789   0.395925   0.986628
27318420  -0.739181   0.167356   0.920026   0.826829  -0.026551  -0.855520
27318484   0.999520   0.566108  -0.387782  -0.985146  -0.676772   0.253823
27318548   0.313229   0.968364   0.733190  -0.176076  -0.923458  -0.821818
27318612   0.379608   0.983588   0.683262  -0.245252  -0.948282  -0.779466
27318676   0.994827   0.622989  -0.321622  -0.970535  -0.727143   0.184782
27318740  -0.689698   0.236661   0.945435   0.784980  -0.097182  -0.889996
27318804   0.498713  -0.459903  -0.995687  -0.616040   0.329991   0.972630
27318868  -0.942514  -0.790433   0.088369   0.885925   0.868966   0.053084
27318932  -0.587795  -0.998345  -0.491022   0.467745   0.996469   0.609044
27318996  -0.079549  -0.881785  -0.873312  -0.061920   0.806401   0.933321
