  TIME         Ez         Ez
27318026   0.000000   0.841471
27318058   0.412118   0.989358
27318090  -0.544021  -0.999990
27318122   0.149877  -0.750987
27318154   0.912945   0.836656
27318186  -0.663634   0.270906
27318218  -0.988032  -0.404038
27318250   0.963795   0.296369
27318282   0.745113  -0.158623
27318314  -0.953753  -0.768255
27318346  -0.262375   0.670229
27318378   0.636738   0.992873
27318410  -0.304811  -0.966118
27318442  -0.114785  -0.897928
27318474   0.773891   0.951055
27318506  -0.444113   0.513978
27318538  -0.993889  -0.629888
27318570   0.860069   0.035398
27318602   0.893997   0.105988
27318634  -0.999207  -0.573382
27318666  -0.506366   0.452026
27318698   0.816743   0.926818
27318730  -0.044243  -0.864551
27318762  -0.371404  -0.981952
27318794   0.580611   0.998815
27318826  -0.193473   0.721038
27318858  -0.930106  -0.811603
27318890   0.696080  -0.228052
27318922   0.980240   0.363171
27318954  -0.974649  -0.338333
27318986  -0.714876   0.202150
27319018   0.939520   0.795824
